,class_number,is_rong,is_new,is_active,online_dur,cust_age,sex,offer_type,month_charge,arpu,avg_flow,month_flow,flow_trend,trmnl_kind,thrmonth_avgarpu,arpu_trend,trmnl_month,is_contract,agr_exp_date,callll_dur,calling_dur,called_dur,roamcall_dur,call_dur_avg,calling_dur_avg,called_dur_avg,roamcall_dur_avg,thrmon_call_trend,thrmon_calling_trend,thrmon_called_trend,thrmon_roamcall_trend,calling_flow,is_zeroflow,is_highflow,is_flow_over,flow_rate,predict,target,prob
625,0,0,0,1,103,49,1,0,0,2568,196.494853,532.7596884,2.711316252,1,856.0,3.0,748,0,23800,22276.8,226.0,496.8,522.8,23946.0,636.0,1338.0,0.0,0.93029316,0.35534591200000004,0.37130044799999995,0.0,0.010145084,0,1,1,2.6641650390000002,0,0,[0.99571815 0.00428185]
675,0,0,0,1,34,40,1,0,3654,5611,349.73479810000003,1047.625123,2.995484375,2,5563.0,1.008628438,151,0,23800,4916.1,30.1,99.0,4787.0,5356.5,113.5,279.0,4964.0,0.9177821340000001,0.26519823800000003,0.35483871,0.964343272,0.00612274,0,1,1,2.014762996,0,0,[0.99839718 0.00160282]
423,0,2,0,1,45,0,2,0,19320,5163,52.58991782,142.717742,2.713785225,2,5163.0,1.0,113,0,4,25117.7,163.8,69.9,16566.3,25892.8,301.7,131.1,0.0,0.970065037,0.542923434,0.533180778,0.0,0.006521298000000001,0,0,0,0.139445305,0,0,[0.9984457 0.0015543]
481,0,0,0,1,63,68,1,0,16116,1900,0.0,0.0,0.0,0,1900.0,1.0,17496,0,23800,22.0,22.0,0.0,0.0,23.0,23.0,0.0,0.0,0.956521739,0.956521739,0.0,0.0,1.0,1,0,0,0.0,0,0,[9.99132782e-01 8.67218366e-04]
366,0,2,0,1,51,35,1,0,10141,3566,31.51758639,94.55275917,3.0,2,3566.0,1.0,106,0,23800,745.1,58.1,26.0,0.0,760.1,72.1,0.0,0.0,0.980265755,0.805825243,0.0,0.0,0.077976111,0,0,0,0.11826416,0,0,[0.97364001 0.02635999]
336,0,0,0,1,34,23,0,0,888,1440,3.607358615,6.193947792,1.717031339,1,1443.333333,0.9976905309999999,95,0,23800,1249.0,0.0,0.0,0.0,1267.0,0.0,0.0,0.0,0.985793212,0.0,0.0,0.0,0.0,1,0,0,0.310888672,0,0,[9.99909999e-01 9.00006558e-05]
116,0,2,0,1,48,30,1,0,9139,4300,10.77455775,32.07862091,2.97725639,2,3623.666667,1.186643363,427,0,23800,5096.0,131.0,74.0,0.0,5687.0,414.0,375.0,0.0,0.896078776,0.31642512100000003,0.197333333,0.0,0.025706436000000003,0,0,0,0.015674591,0,1,[0.77299567 0.22700433]
36,0,2,0,1,48,32,0,0,15710,6647,105.9873219,308.7784901,2.913353075,2,5776.0,1.150796399,93,0,23800,6835.0,120.0,11.0,6718.0,6948.0,123.0,0.0,0.0,0.983736327,0.975609756,0.0,0.0,0.017556693,0,0,0,0.301724434,0,1,[0.99494331 0.00505669]
755,0,0,0,1,31,41,1,0,64,1567,0.0,0.0,0.0,2,1412.333333,1.109511447,421,0,23800,27.7,26.7,1.0,0.0,30.7,29.7,0.0,0.0,0.90228013,0.898989899,0.0,0.0,0.9638989170000001,1,0,0,0.0,0,0,[9.99950556e-01 4.94441133e-05]
626,0,2,0,1,35,50,1,0,11590,3800,0.0,0.0,0.0,2,3466.666667,1.096153846,89,0,23800,40.0,25.0,15.0,0.0,43.0,28.0,0.0,0.0,0.9302325579999999,0.892857143,0.0,0.0,0.625,1,0,0,0.0,0,0,[0.99898574 0.00101426]
544,0,0,0,1,27,27,1,0,5292,1900,10.09440804,28.3590498,2.809382155,2,1876.6666670000002,1.012433393,534,0,23800,8622.2,72.2,61.0,5582.0,9126.4,254.4,335.0,0.0,0.944753682,0.28380503100000004,0.182089552,0.0,0.008373733000000001,0,0,1,1.43203125,0,0,[9.99799966e-01 2.00034035e-04]
506,0,0,0,1,27,35,1,0,-123,2850,76.93656985,229.5844955,2.9840750110000003,2,1710.0,1.6666666669999999,119,0,23800,553.0,2.0,0.0,0.0,581.0,6.0,0.0,0.0,0.951807229,0.333333333,0.0,0.0,0.0036166370000000002,0,0,1,11.48046875,0,0,[9.99573140e-01 4.26860276e-04]
651,0,2,0,1,44,29,1,0,21789,9033,135.8893147,407.667944,3.0,0,6200.333333,1.456857158,678,0,23800,4842.1,92.1,44.0,4706.0,5238.1,303.1,229.0,0.0,0.924400069,0.303860112,0.192139738,0.0,0.019020673000000002,0,0,0,0.398361206,0,0,[0.90832029 0.09167971]
317,0,2,0,1,42,39,0,0,16802,4173,9.153790474,22.68377781,2.478074834,2,4169.666667,1.000799424,474,0,23800,2620.0,0.0,0.0,2601.0,2648.0,5.0,0.0,0.0,0.989425982,0.0,0.0,0.0,0.0,0,0,0,0.022211075,0,0,[0.86088653 0.13911347]
548,0,0,0,1,62,54,1,0,27036,4910,9.432655017,28.29796505,3.0,1,4770.0,1.029350105,108,0,23800,10859.2,164.2,252.0,181.0,11503.6,405.6,655.0,0.0,0.943982753,0.40483234700000004,0.384732824,0.0,0.015120818999999999,0,0,1,1.441113281,0,0,[0.99577686 0.00422314]
237,0,2,0,1,53,38,0,0,22976,2902,0.310049057,0.930147171,3.0,1,3196.333333,0.90791532,100,0,23,1153.0,1.0,1.0,2.0,1155.0,3.0,0.0,0.0,0.998268398,0.333333333,0.0,0.0,0.000867303,1,0,0,0.000923157,0,0,[0.98997965 0.01002035]
64,0,2,0,1,60,40,1,0,10000,4354,82.38620822,247.15862459999997,3.0,2,4354.0,1.0,88,0,23800,5626.8,33.8,46.0,0.0,5822.2,103.2,172.0,0.0,0.966438803,0.32751938,0.26744186,0.0,0.006006966999999999,0,0,0,0.24335384399999999,1,1,[0.00676675 0.99323325]
